"username"	"date"	"retweets"	"favorites"	"text"	"geo"	"mentions"	"hashtags"	"id"	"permalink"
"maverickilroy"	"2016-12-17 02:12"	0	2	"1st visit to ATM post #Demonetization. This is the crowd at 2 AM. Banking system has failed Karmyogi @narendramodi ji badly. :(pic.twitter.com/ueF1qF7PHb"	""	"@narendramodi"	"#Demonetization"	"809861298158596096"	"https://twitter.com/maverickilroy/status/809861298158596096"
"Prince_Chd"	"2016-12-17 00:58"	26	9	"Another heartbreaking picture from Hyderabad. This old lady was trying to withdraw her old-age pension of but no cash :( #Demonetisation pic.twitter.com/CIrAATG3sJ"	""	""	"#Demonetisation"	"809842718163636224"	"https://twitter.com/Prince_Chd/status/809842718163636224"
"yesvinay"	"2016-12-16 23:26"	1	0	"Yet to get hold of Rs 500 new note. ATMs have 2k notes only :( #demonetization"	""	""	"#demonetization"	"809819559700131840"	"https://twitter.com/yesvinay/status/809819559700131840"
"vikrantsp"	"2016-12-16 21:06"	0	0	"@YRDeshmukh @narendramodi ji, this would be a shocking move if true! #DeMonetisation process will lose all the good-will it has earned :("	""	"@YRDeshmukh @narendramodi"	"#DeMonetisation"	"809784342268542976"	"https://twitter.com/vikrantsp/status/809784342268542976"
"krantivanjari"	"2016-12-17 19:21"	0	0	"http://m.hindustantimes.com/india-news/demonetisation-woes-ht-s-photo-of-old-man-crying-in-a-bank-touches-a-raw-nerve/story-lWft5KIHyDEjZpVnrx9SiI.html … #demonetization @PMOIndia @htTweets he might hve starved bcoz of no money nd god knows how many such others :("	""	"@PMOIndia @htTweets"	"#demonetization"	"810120168068288512"	"https://twitter.com/krantivanjari/status/810120168068288512"
"RainkissedLove"	"2016-12-17 11:29"	0	0	"Enough of it! :( #DeMonetisation #DemonetizationDisaster #helloHell"	""	""	"#DeMonetisation #DemonetizationDisaster #helloHell"	"810001341426835456"	"https://twitter.com/RainkissedLove/status/810001341426835456"
"vibhurishi"	"2016-12-17 10:43"	0	0	"Ordered burgers from McD. Gave 2k note. Got change in Rs 10/- notes ! My wallet is so fat now.. :-( #demonetization"	""	""	"#demonetization"	"809989848731820032"	"https://twitter.com/vibhurishi/status/809989848731820032"
"musicraja"	"2016-12-17 10:05"	0	0	"This is #Demonetisation :-( http://fb.me/8gzWHmxzu "	""	""	"#Demonetisation"	"809980349044420608"	"https://twitter.com/musicraja/status/809980349044420608"
"angelsivan"	"2016-12-17 08:30"	0	0	":( .. are there any positive articles on #Demonetisation at all ? Or is it high time we accepted this was a disaster and move on ? :/ https://twitter.com/IndiaSpend/status/809934892377186304 …"	""	""	"#Demonetisation"	"809956350553780224"	"https://twitter.com/angelsivan/status/809956350553780224"
"JaspalKaur7"	"2016-12-19 00:37"	1	0	"Banks prefer to supply cash via branches than ATMs as they want to serve their own rich customers and cheat :( #DeMonetisation #BlackMoney"	""	""	"#DeMonetisation #BlackMoney"	"810562049243746304"	"https://twitter.com/JaspalKaur7/status/810562049243746304"
"drnarendranET"	"2016-12-18 21:13"	0	2	"Another real #DeMonetisation death :( @journalistHari @pendown @pramod_TNIEhttp://www.marunadanmalayali.com/news/special-report/kadakampalli-bank-staff-found-dead-61474 …"	""	"@journalistHari @pendown @pramod_TNIEhttp"	"#DeMonetisation"	"810510836762636288"	"https://twitter.com/drnarendranET/status/810510836762636288"
