"username"	"date"	"retweets"	"favorites"	"text"	"geo"	"mentions"	"hashtags"	"id"	"permalink"
"dr_rajpurohit"	"2016-12-16 23:29"	0	0	"@sunilddesai @vinod_sharma Punjab & UP elections will be the true test of #Demonetisation. Nation will be cashless & BJP will be voteless!:)"	""	"@sunilddesai @vinod_sharma"	"#Demonetisation"	"809820164279500800"	"https://twitter.com/dr_rajpurohit/status/809820164279500800"
"mithun_tweets"	"2016-12-16 22:30"	0	0	"@CorporateKity kind of yeah.. I flew to Kochi couple of days back (escape route).. literally walked to airport; thanks to #DeMonetisation :)"	""	"@CorporateKity"	"#DeMonetisation"	"809805525013565440"	"https://twitter.com/mithun_tweets/status/809805525013565440"
"nbrengaraju"	"2016-12-16 21:43"	1	1	"Breaking News: Finally @OfficeOfRG 'earthquake' infm on @narendramodi personal corruption is out :) @INCIndia #DeMonetisation pic.twitter.com/vzM0xhEoi5"	""	"@OfficeOfRG @narendramodi @INCIndia"	"#DeMonetisation"	"809793594726879233"	"https://twitter.com/nbrengaraju/status/809793594726879233"
"Jeetu_pa84"	"2016-12-16 19:17"	0	0	"Spelling of #Demonetization is wrong, Arvind Sir :P http://fb.me/8pagf5Qyh "	""	""	"#Demonetization"	"809756779986894848"	"https://twitter.com/Jeetu_pa84/status/809756779986894848"
"HarshithMallya"	"2016-12-16 19:05"	0	0	"A sentence I never expected to see on @YourStoryCo :P- https://yourstory.com/2016/12/weed-grass-drug-bengaluru-digital-payments/ … #DeMonetisation #SmokeWeedEveryday #Stoners pic.twitter.com/SoWH8qpZ8h"	""	"@YourStoryCo"	"#DeMonetisation #SmokeWeedEveryday #Stoners"	"809753807940763649"	"https://twitter.com/HarshithMallya/status/809753807940763649"
"teawithdev"	"2016-12-16 17:05"	10	6	"Aftr #DeMonetisation Axis Bank converting Black 2 white & MANISHA LATH (Former Executive VC Axis Bank) Busy Raising fund for Farziwal :) pic.twitter.com/Lx51RESGbu"	""	""	"#DeMonetisation"	"809723738761535489"	"https://twitter.com/teawithdev/status/809723738761535489"
"vismayshah"	"2016-12-16 16:30"	0	0	"@philotweepic @RenukaJain6 Side effects of #DeMonetisation..!! :) :p"	""	"@philotweepic @RenukaJain6"	"#DeMonetisation"	"809714722220179457"	"https://twitter.com/vismayshah/status/809714722220179457"
"BuzzDrivers"	"2016-12-16 14:32"	0	0	"Our soapy PM turns a Liril girl now. Was modelling for Digi-धन not possible without #Demonetisation? You really want me to believe that :) pic.twitter.com/XFKY2wlHJy"	""	""	"#Demonetisation"	"809685113864761344"	"https://twitter.com/BuzzDrivers/status/809685113864761344"
"ne_hah"	"2016-12-16 14:23"	0	0	"Good Old Days :P http://buff.ly/2hV3gtR  #demonetization #india #inr #rupee #photography"	""	""	"#demonetization #india #inr #rupee #photography"	"809682885007593472"	"https://twitter.com/ne_hah/status/809682885007593472"
"sunilarab"	"2016-12-16 14:15"	0	1	"Eagerly looking forward to @RealArnabG back on PrimeTime with #Republic. Its been a dull #DeMonetisation debate so far :)"	""	"@RealArnabG"	"#Republic #DeMonetisation"	"809680906570993664"	"https://twitter.com/sunilarab/status/809680906570993664"
"PapaEmiritusX"	"2016-12-16 14:06"	0	0	"#Demonetisation. :D This... pic.twitter.com/BTmeOL6OLo"	""	""	"#Demonetisation"	"809678584705060864"	"https://twitter.com/PapaEmiritusX/status/809678584705060864"
"socialtroll_"	"2016-12-16 14:02"	0	0	"This is how your black can be converted to white via Axis Bank :P #Demonetisation http://fb.me/3Jr7C23q2 "	""	""	"#Demonetisation"	"809677458911858688"	"https://twitter.com/socialtroll_/status/809677458911858688"
"riturajgill"	"2016-12-16 12:54"	0	0	"My tryst with the pen..err..I mean keyboard :) do read & share if you like it! truth behind #demonetization http://riturajgill.com/demonetization-surgical-strike-black-money …"	""	""	"#demonetization"	"809660399259787264"	"https://twitter.com/riturajgill/status/809660399259787264"
"bhutesuresh"	"2016-12-16 11:08"	0	0	"pic.twitter.com/KPFQuw7mWF U S gives a big thums up 2 @narendramodi ji's #DeMonetisation drive :-)"	""	"@narendramodi"	"#DeMonetisation"	"809633746550820864"	"https://twitter.com/bhutesuresh/status/809633746550820864"
"RishiDodeja"	"2016-12-16 10:55"	0	0	"love the way u took the country by storm with the #demonetisation move & hav my support 100% @narendramodi Srry for d late appreciation :p"	""	"@narendramodi"	"#demonetisation"	"809630542761168896"	"https://twitter.com/RishiDodeja/status/809630542761168896"
"aatmesh123"	"2016-12-16 09:21"	0	0	"#DeMonetisation effect :) https://twitter.com/AAPUttarPradesh/status/809388454807216129 …"	""	""	"#DeMonetisation"	"809606882704781313"	"https://twitter.com/aatmesh123/status/809606882704781313"
"SayNoToCash_IN"	"2016-12-16 09:12"	0	0	"@sarath_gud Hope you keep paying him via bank once #DeMonetisation is over :)"	""	"@sarath_gud"	"#DeMonetisation"	"809604575930044416"	"https://twitter.com/SayNoToCash_IN/status/809604575930044416"
"vinay_dwivedi12"	"2016-12-16 05:32"	0	0	"#DeMonetisation #CashCheats What a joke hahaha. I bet he can't speak the name of his state.. Mobile banking is too tough for him :-)https://twitter.com/timesnow/status/809431115274526720 …"	""	""	"#DeMonetisation #CashCheats"	"809549144381501441"	"https://twitter.com/vinay_dwivedi12/status/809549144381501441"
"YeskayDurai"	"2016-12-17 22:35"	1	0	"Intention was good but how #demonetization execution turning out to be :D pic.twitter.com/tSUOKs5Uzs"	""	""	"#demonetization"	"810169095681286144"	"https://twitter.com/YeskayDurai/status/810169095681286144"
"Palashwriter"	"2016-12-17 19:01"	0	0	"Latest Song #MerabharatMahaan on #Modi Ji , #India, #BlackMoney , #Corruption , #Demonetization is here..:) :)... http://fb.me/7WwiwTitL "	""	""	"#MerabharatMahaan #Modi #India #BlackMoney #Corruption #Demonetization"	"810115246366937088"	"https://twitter.com/Palashwriter/status/810115246366937088"
"SarveshNayakINC"	"2016-12-17 18:16"	0	0	"अपना #BlackMoney #WhiteMoney में बदलने के लिए यह वीडियो जरुर देखे -: :D :D :D #BjpOnBlackMoney #Demonetisation http://fb.me/5FwDb1286 "	""	""	"#BlackMoney #WhiteMoney #BjpOnBlackMoney #Demonetisation"	"810103908135800838"	"https://twitter.com/SarveshNayakINC/status/810103908135800838"
"gtvtelugunews"	"2016-12-17 17:03"	0	0	"నోట్ల రద్దు పై సి.యం కేసిఆర్ ఎమోషనల్ స్పీచ్ !! :) #KCR #CM #Speech #Demonetisation #Emotional http://fb.me/2ppyfzI21 "	""	""	"#KCR #CM #Speech #Demonetisation #Emotional"	"810085624917028864"	"https://twitter.com/gtvtelugunews/status/810085624917028864"
"VikasAgarwalll"	"2016-12-17 16:38"	0	1	"This movie was running successfully in UP till #DeMonetisation happened. Now no traces of it. :P https://www.youtube.com/watch?v=3TAaRkbEiUY …"	""	""	"#DeMonetisation"	"810079252989284353"	"https://twitter.com/VikasAgarwalll/status/810079252989284353"
"DinetoniteIndia"	"2016-12-17 16:23"	0	3	"#restaurants accepting cards are gradually topping my favourite #foodjoints list.. :P #demonetization #DemonetizationBenefitspic.twitter.com/BYEh33Ybaq"	""	""	"#restaurants #foodjoints #demonetization #DemonetizationBenefitspic"	"810075483144650753"	"https://twitter.com/DinetoniteIndia/status/810075483144650753"
"bhushanagarwal1"	"2016-12-17 14:27"	0	0	"@ArvindKejriwal Bhai tu to computer ki baat mat kar , Jisko #demonetization ki spelling nahi aati ho woh computer kya jane :P"	""	"@ArvindKejriwal"	"#demonetization"	"810046361039151104"	"https://twitter.com/bhushanagarwal1/status/810046361039151104"
