	label	text
0	1	@sunilddesai @vinod_sharma Punjab & UP elections will be the true test of #Demonetisation. Nation will be cashless & BJP will be voteless!:)
1	1	@CorporateKity kind of yeah.. I flew to Kochi couple of days back (escape route).. literally walked to airport; thanks to #DeMonetisation :)
2	1	Breaking News: Finally @OfficeOfRG 'earthquake' infm on @narendramodi personal corruption is out :) @INCIndia #DeMonetisation pic.twitter.com/vzM0xhEoi5
3	1	Spelling of #Demonetization is wrong, Arvind Sir :P http://fb.me/8pagf5Qyh 
4	1	A sentence I never expected to see on @YourStoryCo :P- https://yourstory.com/2016/12/weed-grass-drug-bengaluru-digital-payments/ … #DeMonetisation #SmokeWeedEveryday #Stoners pic.twitter.com/SoWH8qpZ8h
5	1	Aftr #DeMonetisation Axis Bank converting Black 2 white & MANISHA LATH (Former Executive VC Axis Bank) Busy Raising fund for Farziwal :) pic.twitter.com/Lx51RESGbu
6	1	@philotweepic @RenukaJain6 Side effects of #DeMonetisation..!! :) :p
7	1	Our soapy PM turns a Liril girl now. Was modelling for Digi-धन not possible without #Demonetisation? You really want me to believe that :) pic.twitter.com/XFKY2wlHJy
8	1	Good Old Days :P http://buff.ly/2hV3gtR  #demonetization #india #inr #rupee #photography
9	1	Eagerly looking forward to @RealArnabG back on PrimeTime with #Republic. Its been a dull #DeMonetisation debate so far :)
10	1	#Demonetisation. :D This... pic.twitter.com/BTmeOL6OLo
11	1	This is how your black can be converted to white via Axis Bank :P #Demonetisation http://fb.me/3Jr7C23q2 
12	1	My tryst with the pen..err..I mean keyboard :) do read & share if you like it! truth behind #demonetization http://riturajgill.com/demonetization-surgical-strike-black-money …
13	1	pic.twitter.com/KPFQuw7mWF U S gives a big thums up 2 @narendramodi ji's #DeMonetisation drive :-)
14	1	love the way u took the country by storm with the #demonetisation move & hav my support 100% @narendramodi Srry for d late appreciation :p
15	1	#DeMonetisation effect :) https://twitter.com/AAPUttarPradesh/status/809388454807216129 …
16	1	@sarath_gud Hope you keep paying him via bank once #DeMonetisation is over :)
17	1	#DeMonetisation #CashCheats What a joke hahaha. I bet he can't speak the name of his state.. Mobile banking is too tough for him :-)https://twitter.com/timesnow/status/809431115274526720 …
18	1	Intention was good but how #demonetization execution turning out to be :D pic.twitter.com/tSUOKs5Uzs
19	1	Latest Song #MerabharatMahaan on #Modi Ji , #India, #BlackMoney , #Corruption , #Demonetization is here..:) :)... http://fb.me/7WwiwTitL 
20	1	अपना #BlackMoney #WhiteMoney में बदलने के लिए यह वीडियो जरुर देखे -: :D :D :D #BjpOnBlackMoney #Demonetisation http://fb.me/5FwDb1286 
21	1	నోట్ల రద్దు పై సి.యం కేసిఆర్ ఎమోషనల్ స్పీచ్ !! :) #KCR #CM #Speech #Demonetisation #Emotional http://fb.me/2ppyfzI21 
22	1	This movie was running successfully in UP till #DeMonetisation happened. Now no traces of it. :P https://www.youtube.com/watch?v=3TAaRkbEiUY …
23	1	#restaurants accepting cards are gradually topping my favourite #foodjoints list.. :P #demonetization #DemonetizationBenefitspic.twitter.com/BYEh33Ybaq
24	1	@ArvindKejriwal Bhai tu to computer ki baat mat kar , Jisko #demonetization ki spelling nahi aati ho woh computer kya jane :P
25	1	u think people are so agitated because of #demonetisation ? :))) https://twitter.com/UnSubtleDesi/status/810001282450616321 …
26	1	In the midst of #demonetisation & various other local chaos, I think twitter freedom campaign for #Balochistan takes a break ;) :D :P
27	1	Mr @narendramodi, I can understand the literacy level of #Bhakts but in 1978 another Gujarati PM did implement #DeMonetization rest is :) https://twitter.com/TimesNow/status/809687800060768256 …
28	1	Good thing about #DeMonetisation is that a lot many people are now suddenly concerned about the pain of the poor n the public as a whole. :)
29	1	#DeMonetisation has slowed hair growth !! :) https://twitter.com/Category5Moron/status/809954485640445953 …
30	1	Got 4k (using two ATM cards) within 5mins in Kanpur. No queues. Yahan paisa hi paisa hai. :P #demonetization
31	1	@Hindigeneous Reply is comming from Mars .. it will take time :) #DeMonetisation
32	1	after 70yrs of promoting losers, MSM journos want every potential loophole of #DeMonetisation fixed by Modi tomorrow :)
33	1	In Modi's India, ATMs are now sentient beings able to perceive sorrow :P #Demonetisation pic.twitter.com/YzpczoraTD
34	1	Amir khan welcomes #DeMonetisation .. Ahaa Dangal is coming :)
35	1	Swamy is thinking about Modi's #DeMonetisation joke on ppl ! :D https://twitter.com/KyaUkhaadLega/status/810484187102777344 …
36	1	#DeMonetisation over! lets talk #Remonetisation! :)
37	1	@PiyushGoyal If you don't declare your black money, we will declare you as a political party and you are exempt from Tax :) #demonetisation
38	1	Even Pappu(the other one) & eunuchs are supporting #DeMonetisation ye sab Kya ho raha hai @drajoykumar :)https://twitter.com/CNNnews18/status/810466576994598912 …
39	1	.@uchilpuneeta Yeah, really...he's kind of justifying #demonetisation for fulfilling his stamp collection hobby :) Aise hi kar leta..
40	1	Meanwhile; good effects of #DeMonetisation is, relatives and friends are contacting you for help. Cash @POS :) #Bastar
41	1	2000 से भी कम लोग आये हैं केजरीवाल की रैली में #Demonetization :P
42	1	#Demonetisation எல்லா கருப்பு பணமும் கணக்கில் வரும் - டேஷ்பக்த்ஸ். அரசியல் கட்சிகள் பணத்திற்கு கணக்கு காட்ட தேவையில்லை - மோடி :D
43	1	Hehe :P #Demonetization . Good Morning guys :) http://fb.me/4MDEgjqCD 
44	1	#DeMonetisation A good job by some Adnan guy Bro @Infinitchy , u got competition :)https://youtu.be/YsYxPau2Ymo 
45	1	@vivekbadkur3 But they won't say that because makes #DeMonetisation look bad :p
46	1	तेरे वादे पे जिये हम… तो ये प्लान झूठ जाना के क़तार सब लगाते … जो न इश्तेहार होता :D -सरफ़राज़ #DeMonetisation #5000limit #BlackMoney
47	1	I went to bathroom, then i got shocked #Modi ji changed #DeMonetisation rule for the 150th time :) buah haa haa .. #5000limit
48	1	@JhaSanjay Congis rarely get a chance to cheer these days, so we give it to you. BTW Pappu's balloon on #DeMonetisation already deflated :)
49	1	.@discopiggu wanna get married with @ArvindKejriwal ? Coz he explains #DeMonetisation very well :P
50	1	Raees movie inspired by #Demonetization -Baniye ka Dimaag aur Gujju bhai ki daring :p
51	1	@Reds_Voice :D disastrous #demonetization
52	1	Outside ATM , crowd mood Action & reaction #fits in fashion #Demonetisation :) :) :) pic.twitter.com/M1lv0T6hbR
53	1	Long ATM line? Laugh it out! :D http://bit.ly/2hR4E1z  @amitandon @AllIndiaBakchod @greencomedian @thevirdas @sawandutta #demonetization
54	1	Cost Cutting after #Demonetisation :) https://twitter.com/EconomicTimes/status/810839326745468929 …
55	1	#DeMonetization पैसे तो पहले भी नहीं होते थे जेब में..// लेकिन आज कल पैसे नहीं हैं कहने में शर्म नहीं आती..// :P #DeepRaaz_Deep
56	1	#DeMonetisation Still ......Missing in Action is the 500 new note ? Has anyone seen one. Last one i saw was in Nov-25 :P
57	1	haha...true. Moh, maya tyag do mitronnn :) #DeMonetisation https://twitter.com/Gayatri__J/status/810816971180605441 …
58	1	@narendramodi should take a note. who can have this info better than RaGa :) #DeMonetisation https://twitter.com/OfficeOfRG/status/810802966294720513 …
59	1	@dilipmandal @AmbedkarCaravan बहुत ख़ूब ! this is intelligent criticism without being personal & judgmental:) :) #DeMonetisation
60	1	Just found another atm, its canara bank sapru marg Lko, no person at all & i withdrew another 2k :) with another atm... #DeMonetisation
61	1	@SirJadeja is busy piling up big score. He will comment on @OfficeOfRG speech after he returns to the dressing room :) #DeMonetisation
62	1	@ANI_news yahi woh log hain jo Modi ji ke saath kandhe se kandha mila kar khade hain #DeMonetisation ke support mein :)
63	1	#DeMonetisation #atmwithcash #DemonetizationDisaster :Dpic.twitter.com/4PoDavmrOO
64	1	@rvaidya2000 Indian opposition parties successfully agitated & lobbied against #DeMonetisation in Venezuela forcing Maduro 2 postpone it :))
65	1	Arey o kanpur ke niwasi logo .. @narendramodi ke kaan ke niche bajao thik se .. Sare #DeMonetisation nikal jayega :)
66	1	#DeMonetisation 15.44 lakh crores n still counting .... modi ji is the best scorer of INDIA ..... :) ;)
67	1	#DeMonetisation Has quite an impact on Bhajiawala :p https://twitter.com/IndiaTodayFLASH/status/810743782207426561 …
68	1	Post #DeMonetisation , If anyone remotely suggest any entity as Corrupt in any public forum. Ensure you speak/write only on FIR cases :P
69	1	@anjanaomkashyap @CPDelhi busy busy busy!! #DeMonetisation :) Instead good quality food, Government school need educated teachers first!..
70	1	What is left to brief now :)) #DeMonetisation https://twitter.com/firstpost/status/810703701803466752 …
71	1	Why the hell are u targetting Urjit Patel? #Demonetisation. :)
72	1	Retweeted sumit kumar (@kumar_sumit): And the lady is killing it .... :) ha ha ha #DeMonetisation... http://fb.me/13kHMVkdE 
73	1	@ShashiTharoor @sayamkapila92 @YouTube at least u could have hastagged it just #Demonetization instead of #DemonetizationDisaster :)
